2000	13318683	849063	9383667	849063
2064	14171633	902044	9976017	902044
2128	15046583	956769	10586675	956769
2192	15982293	1012828	11250015	1012828
2256	16910590	1070730	11897886	1070730
2320	17865165	1130277	12563953	1130277
2384	18883825	1191340	13286031	1191340
2448	19897873	1253968	13995405	1253968
2512	20976965	1318070	14761809	1318070
2576	22079367	1383769	15543399	1383769
2640	23210238	1451175	16345386	1451175
2704	24326187	1520253	17124388	1520253
2768	25468418	1591006	17921631	1591006
2832	26636906	1663376	18737005	1663376
2896	27831596	1737299	19570541	1737299
2960	29190792	1859595	20563281	1859595
3024	30440813	1937773	21436078	1937773
